ID;Модуль;Название теста;Предусловие;Шаги;Ожидаемый результат;Фактический результат;Статус;Приоритет;Автоматизация;Причина непокрытия
1.1;Авторизация;Вход с валидными данными;Приложение установлено и открыто. Есть интернет;1. В поле "Логин" ввести login2\n2. В поле "Пароль" ввести password2\n3. Кликнуть на "Войти";Вход осуществлен. Открывается главная страница;Вход осуществлен. Открывается главная страница;Passed;High;Yes;
1.2;Авторизация;Обработка множественных нажатий на кнопку входа;Приложение установлено и открыто. Есть интернет;1. В поле "Логин" ввести login2\n2. В поле "Пароль" ввести password2\n3. Быстро кликнуть на "Войти" 3 раза;Вход осуществлен. Открывается главная страница. Ошибок нет;Вход осуществлен. Открывается главная страница. Ошибок нет;Passed;Medium;Yes;
1.3;Авторизация;Вход с невалидными данными;Приложение установлено и открыто. Есть интернет;1. В поле "Логин" ввести incorrect\n2. В поле "Пароль" ввести incorrect\n3. Кликнуть на "Войти";Вход не осуществляется. Всплывает сообщение "Что-то пошло не так. Попробуйте позднее";Вход не осуществляется. Всплывает сообщение "Что-то пошло не так. Попробуйте позднее";Passed;High;Yes;
1.4;Авторизация;Вход с валидным логином и невалидным паролем;Приложение установлено и открыто. Есть интернет;1. В поле "Логин" ввести login2\n2. В поле "Пароль" ввести incorrect\n3. Кликнуть на "Войти";Вход не осуществляется. Всплывает сообщение "Что-то пошло не так. Попробуйте позднее";Вход не осуществляется. Всплывает сообщение "Что-то пошло не так. Попробуйте позднее";Passed;High;Yes;
1.5;Авторизация;Вход с невалидным логином и валидным паролем;Приложение установлено и открыто. Есть интернет;1. В поле "Логин" ввести incorrect\n2. В поле "Пароль" ввести password2\n3. Кликнуть на "Войти";Вход не осуществляется. Всплывает сообщение "Что-то пошло не так. Попробуйте позднее";Вход не осуществляется. Всплывает сообщение "Something went wrong. Try again later";Passed;High;Yes;
1.6;Авторизация;Отправка пустой формы;Приложение установлено и открыто. Есть интернет;1. Не заполняя поля "Логин" и "Пароль" кликнуть на кнопку "Войти";Вход не осуществляется. Всплывает сообщение "Логин и пароль не могут быть пустыми"; Вход не осуществляется. Всплывает сообщение "Логин и пароль не могут быть пустыми";Passed;High;Yes;
1.7;Авторизация;Сохранение сессии после перезапуска приложения;Пользователь авторизован и находится на главной странице;1. Полностью закрыть приложение\n2. Запустить приложение заново;Пользователь остается авторизованным. Запускается главный экран;Пользователь остается авторизованным. Запускается главный экран;Passed;Medium;Yes;
1.8;Авторизация;Завершение сессии пользователя;Пользователь должен быть авторизован и находиться на главной странице;1. Кликнуть на кнопку выхода в главном меню.\n2. В выпадающем списке кликнуть на "Выйти";Выход осуществлен. Открыта страница Авторизации;Выход осуществлен. Открыта страница Авторизации;Passed;High;Yes;
2.1;Создание новостей;Отправка пустой формы;Пользователь авторизован. Открыт экран создания новости;1. Не заполняя полей кликнуть на кнопку Сохранить;Сохранение новости не происходит. Всплывает сообщение "Заполните пустые поля". Все обязательные поля помечены восклицательным знаком;Сохранение новости не происходит. Всплывает сообщение "Заполните пустые поля". Все обязательные поля помечены восклицательным знаком;Passed;High;Yes;
2.2;Создание новостей;Отправка формы с валидными данными;Пользователь авторизован. Открыт экран создания новости;1. В поле категории выбрать "Объявления"\n2. В поле Заголовок ввести "Новое объявление"\n3. В поле Дата публикации выбрать текущую дату\n4. В поле Время выбрать текущее время + 1 минута\n5. В поле Описание ввести "Описание к новой новости"\n6. Кликнуть на кнопку Сохранить;Новость успешно создана и отображается в общем списке (раздел Новости) и в панели управления (Панель управления) со статусом Активна;Новость успешно создана и отображается в панели управления (Панель управления). В общем списке (раздел Новости) новости нет;Blocked;High;No;Баг отображения: данные успешно сохраняются (HTTP 200 OK, видны в Панель управления), но не рендерятся в общем списке раздела Новости. Проверка полного цикла создания невозможна до фикса.;
2.3;Создание новостей. Валидация поля Категория;Сохранение формы без выбора категории;Пользователь авторизован. Открыт экран создания новости. Поля Заголовок, Дата публикации, Время, Описание заполнены валидными данными;1. Не выбирая категорию в поле Категория кликнуть на кнопку Сохранить;Сохранение не происходит. Поле Категория помечено восклицательным знаком. Появляется уведомление "Заполните пустые поля";Сохранение не происходит. Поле Категория помечено восклицательным знаком. Появляется уведомление "Заполните пустые поля";Passed;High;Yes;
2.4;Создание новостей. Валидация поля Заголовок;Отправка поля на латинице;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести латинские символы\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.5;Создание новостей. Валидация поля Заголовок;Отправка поля на кириллице;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести кириллические символы\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.6;Создание новостей. Валидация поля Заголовок;Отправка поля с цифрами;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести цифры\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.7;Создание новостей. Валидация поля Заголовок;Отправка поля с символами;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести символы\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.8;Создание новостей. Валидация поля Заголовок;Отправка поля с пробелом;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести пробел\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.9;Создание новостей. Валидация поля Заголовок;Отправка пустого поля;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. Оставить поле Заголовок пустым\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Passed;High;Yes;
2.10;Создание новостей. Валидация поля Заголовок;Отправка поля с одним символом;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести один символ\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.11;Создание новостей. Валидация поля Заголовок;Отправка поля с максимальным количеством символов;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести строку из 100 символов\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.12;Создание новостей. Валидация поля Заголовок;Отправка поля с количеством символов (макс - 1);Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести строку из 99 символов\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.13;Создание новостей. Валидация поля Заголовок;Отправка поля с количеством символов (макс + 1);Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести строку из 101 символов\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление об ошибке валидации;Форма сохраняется. Новость отображается в панели управления (Панель управления);Failed;Low;No;Лимит длины поля не валидируется (форма успешно отправляется). Требуется уточнение ТЗ или правка на стороне бэкенда
2.14;Создание новостей. Валидация поля Заголовок;Отправка поля с текстом, значительно превышающим лимит;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Дата публикации, Время, Описание заполнены валидными данными;1. В поле Заголовок ввести строку из 500 символов\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление об ошибке валидации;Форма сохраняется. Новость отображается в панели управления (Панель управления);Failed;Low;No;Лимит длины поля не валидируется (форма успешно отправляется). Требуется уточнение ТЗ или правка на стороне бэкенда
2.15;Создание новостей. Валидация поля Дата публикации;Попытка выбора даты в далеком прошлом;Пользователь авторизован. Открыт экран создания новости. Остальные поля заполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Попытаться выбрать дату в далеком прошлом\n3. Нажать кнопку OK;При нажатии OK выбранная дата автоматически заменяется на текущую. Форма сохраняется с текущей датой;При нажатии OK выбранная дата автоматически заменяется на текущую. Форма сохраняется с текущей датой;Passed;Medium;No; Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
2.16;Создание новостей. Валидация поля Дата публикации;Попытка выбора вчерашней даты;Пользователь авторизован. Открыт экран создания новости. Остальные поля заполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Попытаться выбрать вчерашнюю дату\n3. Нажать кнопку OK;При нажатии OK выбранная дата автоматически заменяется на текущую. Форма сохраняется с текущей датой;При нажатии OK выбранная дата автоматически заменяется на текущую. Форма сохраняется с текущей датой;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
2.17;Создание новостей. Валидация поля Дата публикации;Выбор текущей даты;Пользователь авторизован. Открыт экран создания новости. Остальные поля заполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Выбрать текущую дату\n3. Нажать кнопку OK;Текущая дата подтверждается. Форма сохраняется с выбранной датой;Текущая дата подтверждается. Форма сохраняется с выбранной датой;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
2.18;Создание новостей. Валидация поля Дата публикации;Выбор завтрашней даты;Пользователь авторизован. Открыт экран создания новости. Остальные поля заполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Выбрать завтрашнюю дату\n3. Нажать кнопку OK;Будущая дата подтверждается. Форма сохраняется с выбранной датой;Будущая дата подтверждается. Форма сохраняется с выбранной датой;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
2.19;Создание новостей. Валидация поля Дата публикации;Выбор даты в далеком будущем;Пользователь авторизован. Открыт экран создания новости. Остальные поля заполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Выбрать дату в далеком будущем\n3. Нажать кнопку OK;Будущая дата подтверждается. Форма сохраняется с выбранной датой;Будущая дата подтверждается. Форма сохраняется с выбранной датой;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30.
2.20;Создание новостей. Валидация поля Время (Виджет);Выбор текущего времени при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Выбрать текущее время\n3. Нажать OK;Время подтверждается, форма сохраняется;Время подтверждается, форма сохраняется;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30.
2.21;Создание новостей. Валидация поля Время (Виджет);Выбор времени -1 мин при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Выбрать время (текущее - 1 мин)\n3. Нажать OK;Прошедшее время должно быть заблокировано или авто-заменено на текущее;Выбор доступен, форма сохраняется с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: поле Время не блокирует прошедшее время при дате "Сегодня"
2.22;Создание новостей. Валидация поля Время (Виджет);Выбор времени -3 часа при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Выбрать время (текущее - 3 часа)\n3. Нажать OK;Прошедшее время должно быть заблокировано;Выбор доступен, форма сохраняется с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: поле Время не блокирует прошедшее время при дате "Сегодня"
2.23;Создание новостей. Валидация поля Время (Виджет);Выбор времени +1 мин при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Выбрать время (текущее + 1 мин)\n3. Нажать OK;Время подтверждается, форма сохраняется;Время подтверждается, форма сохраняется;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
2.24;Создание новостей. Валидация поля Время (Виджет);Выбор прошедшего времени при дате "Завтра";Пользователь авторизован. Экран создания открыт. Дата публикации = завтра, остальные поля валидны;1. Кликнуть на поле Время\n2. Выбрать прошедшее время\n3. Нажать OK;При будущей дате любое время разрешено, форма сохраняется;Время подтверждается, форма сохраняется;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
2.25;Создание новостей. Валидация поля Время (Ручной ввод);Ввод текущего времени при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести текущее время\n4. Нажать OK;Время подтверждается, форма сохраняется;Время подтверждается, форма сохраняется;Passed;Medium;Yes;
2.26;Создание новостей. Валидация поля Время (Ручной ввод);Ввод времени -1 мин при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести время (текущее - 1 мин)\n4. Нажать OK;Ввод должен быть заблокирован или очищен;Ввод принят, форма сохраняется с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: ручной ввод прошедшего времени при дате "Сегодня" не фильтруется.;
2.27;Создание новостей. Валидация поля Время (Ручной ввод);Ввод времени -3 часа при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести время (текущее - 3 часа)\n4. Нажать OK;Ввод должен быть заблокирован;Ввод принят, форма сохраняется с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: ручной ввод прошедшего времени при дате "Сегодня" не фильтруется.;
2.28;Создание новостей. Валидация поля Время (Ручной ввод);Ввод времени +1 мин при дате "Сегодня";Пользователь авторизован. Экран создания открыт. Дата публикации = сегодня, остальные поля валидны;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести время (текущее + 1 мин)\n4. Нажать OK;Время подтверждается, форма сохраняется;Время подтверждается, форма сохраняется;Passed;Medium;Yes;
2.29;Создание новостей. Валидация поля Время (Ручной ввод);Ввод прошедшего времени при дате "Завтра";Пользователь авторизован. Экран создания открыт. Дата публикации = завтра, остальные поля валидны;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести произвольное время\n4. Нажать OK;При будущей дате любой ввод разрешён, форма сохраняется;Ввод принят, форма сохраняется;Passed;Medium;Yes;
2.30;Создание новостей. Валидация поля Описание;Отправка поля на латинице;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести текст на латинице\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.31;Создание новостей. Валидация поля Описание;Отправка поля на кириллице;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести текст на кириллице\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.32;Создание новостей. Валидация поля Описание;Отправка поля с цифрами;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести цифры\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.33;Создание новостей. Валидация поля Описание;Отправка поля с символами;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести специальные символы\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.34;Создание новостей. Валидация поля Описание;Отправка поля с пробелом;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести пробелы\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.35;Создание новостей. Валидация поля Описание;Отправка пустого поля;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. Оставить поле Описание пустым\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Passed;High;Yes;
2.36;Создание новостей. Валидация поля Описание;Отправка поля с одним символом;Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести один символ\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.37;Создание новостей. Валидация поля Описание;Отправка поля с максимальным количеством символов (1000);Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести текст из 1000 символов\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
2.38;Создание новостей. Валидация поля Описание;Отправка поля с количеством символов (макс - 1);Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести текст из 999 символов\n2. Кликнуть на кнопку Сохранить;Форма сохраняется. Новость отображается в панели управления (Панель управления);Форма сохраняется. Новость отображается в панели управления (Панель управления);Passed;Medium;Yes;
